,bhk,price,size,location
166,3,61.57,1310,CHANDMARI
167,3,42.64,1040,JALUKBARI
168,3,61.2,1360,LAL GANESH
169,1,20.25,450,LAL GANESH
170,2,49.04,1001,REHABARI
171,3,55.9,1300,REHABARI
172,4,117.0,2345,KAHILIPARA
173,3,147.0,1965,DISPUR
174,4,297.0,3970,DISPUR
175,3,81.6,1360,RADHA NAGAR
176,6,210.0,5184,PANJABARI ROAD
177,2,53.1,1180,PANJABARI ROAD
178,2,51.97,1155,PANJABARI ROAD
179,2,80.6,1240,SARUSAJAI
180,3,57.5,1250,JALUKBARI
181,3,57.5,1250,JALUKBARI
182,3,54.28,1180,JALUKBARI
183,3,51.75,1150,RUKMINI GAON
184,3,76.25,1650,PANJABARI ROAD
185,2,43.0,1150,BHETAPARA
186,3,121.0,1580,LOKHRA
187,3,55.13,1137,BELTOLA
188,2,48.14,1003,REHABARI
189,2,35.0,953,DHARAPUR
190,3,48.0,1250,KAHILIPARA
191,2,50.0,1057,KAHILIPARA
192,3,80.0,1210,DHARAPUR
193,3,71.0,1200,BELTOLA
194,4,90.0,2250,DISPUR
195,3,58.0,1300,KAHILIPARA ROAD
196,3,60.0,1300,KAHILIPARA ROAD
197,3,49.0,1355,KAHILIPARA
198,3,45.0,1355,KAHILIPARA
199,2,52.0,1000,ADABARI
200,2,66.02,1179,GS ROAD
201,3,82.6,1475,GS ROAD
202,3,65.37,1391,SIX MILE
203,3,64.86,1380,BHETAPARA
204,2,59.7,995,VIP ROAD
205,2,40.59,990,GARCHUK
206,1,24.75,450,JALUKBARI
207,3,87.05,1741,SIX MILE
208,3,65.61,1458,SIX MILE
209,3,54.4,1360,GARCHUK
210,2,66.37,1475,JAYANAGAR
211,2,52.8,1100,DOWNTOWN
212,2,56.4,1200,CHANDMARI
213,3,98.46,1641,KAHILIPARA
214,2,46.06,940,JAYANAGAR
215,4,117.0,2345,KAHILIPARA
216,2,64.6,1292,RUKMINI GAON
217,2,39.1,850,BELTOLA
218,4,126.0,2800,KAHILIPARA
219,3,63.98,1391,SIX MILE
220,2,39.1,850,BELTOLA
221,4,126.0,2800,KAHILIPARA
222,3,63.98,1391,SIX MILE
223,3,51.17,1147,GARCHUK
224,2,43.71,965,GARCHUK
225,3,49.16,1098,GARCHUK
226,3,53.47,1203,GARCHUK
227,3,50.27,1125,GARCHUK
228,3,46.0,1385,KALYANI SAGAR PATH
229,3,74.0,1698,KAHILIPARA
230,3,43.0,1212,VIP ROAD
231,3,45.0,1212,RADHA NAGAR
232,3,63.36,1408,VIP ROAD
233,3,43.51,1176,PANJABARI ROAD
